weight,Target_cost_euro,Date_claim_opening,Date_of_accident,Customer_code1,Customer_code3,Customer_code4,Customer_merit_class,Flag_virtuous_driver,Presence_of_black_box,Bareme_table_code_customer,Bareme_table_code_other_driver,Province_code,Region,Date_vehicle_immatriculation,Vehicle_typology,Vehicle_power_source,Vehicle_catalytic_converter,Flag_hybrid_vehicle,Vehicle_annual_distance_km,Flag_historical_vehicle,Vehicle_engine_capacity,Vehicle_engine_rpm,Vehicle_torque_kgm,Vehicle_torque_rpm,Vehicle_n_valves_cyl,Vehicle_fiscal_HP,Vehicle_price_euro,Vehicle_max_speed_kmh,Vehicle_acceleration_0_100_s,Vehicle_length_m,Vehicle_width_m,Vehicle_height_m,Vehicle_weight_kg,Vehicle_weight_full_load_kg,Vehicle_n_doors,Vehicle_n_seats,Vehicle_code_supercharging
1,1165,2017-11-15,2017-10-20,C2,P,E,1,N,0,1,3,VR,VENETO,2012-10-31,Sedan,Diesel,ME02,N,NA,N,1248,4000,20.4,1500,4,15,16200,183,11.4,3.842,1.676,1.518,1125,1530,5,4,TU30
1,638,2016-06-01,2016-05-27,C2,P,A,1,N,0,1,14,BS,LOMBARDIA,2000-11-01,Sedan,Petrol,MC09,N,NA,N,899,5500,6.6,2500,2,12,6404.06,135,19.5,3.408,1.494,1.435,790,1150,3,5,AS00
1,766,2016-06-28,2016-06-20,C2,P,A,1,N,0,0,4,FI,TOSCANA,2007-07-11,Sedan,Petrol,MC09,N,NA,N,1149,5500,10.7,3500,4,14,12100,167,13.4,4.027,1.707,1.493,1155,1570,3,5,AS00
1,1650,2018-05-02,2018-04-28,C2,P,A,1,N,1,0,15,ME,SICILIA,2006-04-28,Sedan,Diesel,ME02,N,NA,N,1560,4000,24.5,1750,4,17,20650,188,12.3,4.212,1.746,1.51,1335,1690,5,5,TU30
1,690,2017-07-11,2017-07-08,C2,P,E,9,N,1,0,14,PD,VENETO,2006-04-14,Station wagon,Diesel,ME02,N,5000,N,2967,4000,51,1750,4,26,53900,210,9.1,5.086,1.983,1.737,2370,2950,5,5,TU30
1,1228,2016-09-01,2016-08-31,C3,P,E,1,N,0,7,6,AT,PIEMONTE,2008-09-29,Minivan,Petrol / LPG,MC09,N,NA,N,1595,5600,15.1,3800,2,17,20000,180,12,4.206,1.759,1.58,1308,1920,5,5,AS00
1,703,2018-01-03,2017-12-29,C3,P,A,1,N,0,1,3,VR,VENETO,2016-06-30,Minivan,Diesel,ME02,N,NA,N,1461,4000,26.5,1750,4,16,33280,190,11.9,4.398,1.786,1.557,1450,1985,5,5,TU10
1,520,2014-10-31,2014-10-09,C2,P,A,1,N,0,0,8,RM,LAZIO,2010-05-27,Sedan,Petrol,MC09,N,NA,N,998,6000,9.5,3600,4,12,11590,155,15.7,3.785,1.695,1.53,1085,1440,5,5,AS00
1,2754,2016-02-22,2016-02-09,C3,P,A,4,N,0,1,13,TO,PIEMONTE,2009-03-01,Coupe',Diesel,ME02,N,NA,N,2967,4000,51,1500,4,26,52500,250,6.1,4.625,1.854,1.372,1735,2160,2,4,TU30
1,972,2016-02-17,2016-01-20,C2,P,A,1,N,0,1,4,LE,PUGLIA,1995-10-23,Station wagon,LPG,NA,N,NA,N,1360,5400,12,3300,NA,15,16775,170,14.2,4.164,1.748,1.527,1311,1642,5,5,NA
1,1817,2015-11-20,2015-11-09,C3,P,A,4,N,0,1,14,AN,MARCHE,2008-05-09,Station wagon,Diesel,MB05,N,NA,N,2720,4000,44.9,1900,4,25,46600,180,11.6,4.835,1.915,1.891,2783,3230,5,5,TU10
1,1082,2016-05-11,2016-05-06,C2,P,A,3,N,0,1,14,AN,MARCHE,2010-10-28,Station wagon,Diesel,ME02,N,NA,N,1910,4000,32.6,2000,4,19,29450,210,9.6,4.783,1.775,1.597,1530,2000,5,5,TU30
1,939,2015-02-17,2015-02-10,C2,P,A,2,N,0,1,14,TE,ABRUZZO,2003-01-31,Sedan,Diesel,MB05,N,NA,N,1686,4400,16.8,1800,4,18,17400,173,14,4.11,1.709,1.425,1280,1725,5,5,TU10
1,2104,2018-11-16,2018-11-14,C3,P,A,14,N,1,1,3,CO,LOMBARDIA,2018-05-29,Sedan,Petrol,MC09,N,15000,N,999,6000,9.3,2850,4,12,19294,151,16.9,3.495,1.665,1.554,1005,1435,5,4,AS00
1,616,2017-04-28,2017-04-13,C3,P,A,1,N,0,1,4,TR,UMBRIA,2008-06-26,Minivan,Diesel,MB05,N,NA,N,1910,4000,20.4,1750,2,19,18500,164,12.4,4.253,1.722,1.818,1395,1920,4,5,TU10
1,338,2017-10-19,2017-10-16,C2,P,A,1,N,0,0,8,TO,PIEMONTE,2017-06-27,Sedan,Diesel,ME02,N,NA,N,1598,3200,25.5,1500,4,17,28950,198,10.2,4.258,1.79,1.492,1323,1840,5,5,TU10
1,1523,2017-06-13,2017-05-26,C2,P,E,1,N,1,1,8,LT,LAZIO,2015-09-28,Sedan,Diesel,ME02,N,NA,N,1248,4000,20.4,1500,4,15,17500,183,11.4,3.837,1.676,1.518,1125,1530,5,4,TU30
1,431,2015-04-29,2015-04-22,C2,P,A,13,N,0,0,8,BO,EMILIA-ROMAGNA,2014-02-14,Sedan,LPG,NA,N,NA,N,998,6200,9.5,3500,NA,12,12250,153,15.2,3.665,1.66,1.5,1064,1470,5,5,NA
1,572,2014-09-25,2014-09-14,C2,P,A,1,S,0,1,5,BG,LOMBARDIA,2002-03-18,Sedan,Diesel,MB05,N,NA,N,1896,4000,21.4,1900,2,19,23186,178,12.4,4.081,1.724,1.498,1309,1780,3,4,TU10
1,1087,2016-02-12,2016-02-10,C3,P,A,1,N,0,1,8,RE,EMILIA-ROMAGNA,2002-05-30,Minivan,Diesel,MB05,N,NA,N,1995,4000,25.5,1800,4,20,24890,180,12.5,4.65,1.76,1.675,1625,2250,5,7,TU10
